ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
GDHG,NASDAQ,2.8931974631761266,13687.5,181,1y,2024-01-01,5953061.30952381,1,1
MLGO,NASDAQ,2.6167607106123953,5472.0,249,1y,2024-01-01,17500135.61904762,2,2
CDIO,NASDAQ,2.270441114490402,74.69999694824219,249,1y,2024-01-01,17581180.23549444,3,3
HUBC,NASDAQ,2.21205629624971,325.5,249,1y,2024-01-01,6863372.0,4,4
ADTX,NASDAQ,2.1445712509058086,59935200.0,249,1y,2024-01-01,6919187.301587301,5,5
IVF,NASDAQ,2.08906507055771,1944.0,249,1y,2024-01-01,7099393.163023934,6,6
FFAI,NASDAQ,1.8477871639129195,27.719999313354492,249,1y,2024-01-01,6120369.931710803,7,7
NEUP,NASDAQ,1.8377265769253655,17.760000228881836,249,1y,2024-01-01,5763613.808960476,8,8
ICU,NASDAQ,1.6320845466585663,110.75,249,1y,2024-01-01,12137425.654761905,9,9
CING,NASDAQ,1.6071991714324179,91.80000305175781,249,1y,2024-01-01,8215441.091173203,10,10
EYPT,NASDAQ,1.5453646591825565,23.110000610351562,249,1y,2024-01-01,21386253.574932188,11,11
BTAI,NASDAQ,1.5370787266893984,47.20000076293945,249,1y,2024-01-01,10883003.078440832,12,12
IBRX,NASDAQ,1.4999702503071997,5.019999980926514,249,1y,2024-01-01,18896892.167094965,13,13
MNTS,NASDAQ,1.499589747456411,432.5,249,1y,2024-01-01,11742010.456349207,14,14
CDLX,NASDAQ,1.4982779294971498,9.210000038146973,249,1y,2024-01-01,7304380.025685023,15,15
CGC,NASDAQ,1.450526159456359,5.110000133514404,249,1y,2024-01-01,17757668.34458525,16,16
JTAI,NASDAQ,1.4193361998168927,324.0,249,1y,2024-01-01,5028513.660733177,17,18
CCCC,NASDAQ,1.3929629961461758,5.650000095367432,249,1y,2024-01-01,54624799.98071969,18,19
BNKK,NASDAQ,1.317242979026025,122.8499984741211,249,1y,2024-01-01,23688599.246186573,19,21
AAOI,NASDAQ,1.2984873198535034,19.31999969482422,249,1y,2024-01-01,38354931.75037324,20,22
BTDR,NASDAQ,1.294626098608213,9.859999656677246,249,1y,2024-01-01,7353503.951965438,21,23
IREN,NASDAQ,1.255579393021742,7.150000095367432,249,1y,2024-01-01,19059058.03518825,22,24
DRCT,NASDAQ,1.2295110528193927,818.4000244140625,249,1y,2024-01-01,6127105.240406823,23,25
MARA,NASDAQ,1.181902357433931,23.489999771118164,249,1y,2024-01-01,791218974.1085544,24,26
APLD,NASDAQ,1.1813655709198427,6.739999771118164,249,1y,2024-01-01,18687633.173142537,25,27
BMEA,NASDAQ,1.177897912767603,14.520000457763672,249,1y,2024-01-01,16483459.401472788,26,28
ALT,NASDAQ,1.177842066376867,11.25,249,1y,2024-01-01,54721742.174407795,27,29
GRPN,NASDAQ,1.1101618330925418,12.84000015258789,249,1y,2024-01-01,15611366.176211644,28,30
EJH,NASDAQ,1.1081930667578745,250000.0,249,1y,2024-01-01,9302371.031746032,29,31
HUT,NASDAQ,1.0906402731948726,13.34000015258789,249,1y,2024-01-01,50363506.763771,30,32
MCRB,NASDAQ,1.0438728767369152,28.0,249,1y,2024-01-01,5268287.106737712,31,33
CLSK,NASDAQ,1.0435164809270256,11.029999732971191,249,1y,2024-01-01,154551189.22434914,32,34
GPCR,NASDAQ,1.0250388241003752,40.7599983215332,227,1y,2024-01-01,56542538.6883993,33,35
MAXN,NASDAQ,0.992418002083147,717.0,249,1y,2024-01-01,14706005.404761905,34,36
ALXO,NASDAQ,0.9804065868921734,14.890000343322754,249,1y,2024-01-01,12596059.64652546,35,37
MLTX,NASDAQ,0.9676837147936702,60.38999938964844,249,1y,2024-01-01,36326513.41033814,36,38
AFRM,NASDAQ,0.9676068537806987,49.13999938964844,249,1y,2024-01-01,645267946.292862,37,39
COGT,NASDAQ,0.9613458055517683,5.880000114440918,249,1y,2024-01-01,10104953.035146471,38,40
BBIO,NASDAQ,0.9535822272330945,40.369998931884766,249,1y,2024-01-01,47388677.54040975,39,41
NNOX,NASDAQ,0.9490074441993926,6.369999885559082,249,1y,2024-01-01,5750223.824088535,40,42
ENVX,NASDAQ,0.9447345968829802,12.520000457763672,249,1y,2024-01-01,50749816.805576146,41,43
EH,NASDAQ,0.9349428320379543,16.799999237060547,249,1y,2024-01-01,17677900.62428883,42,44
CABA,NASDAQ,0.9339352470802607,22.700000762939453,249,1y,2024-01-01,19727517.737393152,43,45
GCT,NASDAQ,0.9002116278241143,18.295000076293945,249,1y,2024-01-01,11462854.516207982,44,48
APLS,NASDAQ,0.8941779699615945,59.86000061035156,249,1y,2024-01-01,119946905.64730205,45,49
IMVT,NASDAQ,0.8823935010169824,42.130001068115234,249,1y,2024-01-01,61152737.81255995,46,51
COIN,NASDAQ,0.877578074157484,173.9199981689453,249,1y,2024-01-01,1297687944.1994076,47,52
AEHR,NASDAQ,0.8678798818799821,26.530000686645508,249,1y,2024-01-01,35848542.877481855,48,53
CRBU,NASDAQ,0.8653230275578433,5.730000019073486,249,1y,2024-01-01,7930413.364342281,49,54
APPS,NASDAQ,0.8494664565904607,6.860000133514404,249,1y,2024-01-01,10377350.814025365,50,55
ASTS,NASDAQ,0.8481634419931452,6.03000020980835,249,1y,2024-01-01,8676847.628395142,51,56
CDNA,NASDAQ,0.8477294976640758,12.0,249,1y,2024-01-01,9778946.196484944,52,57
IOVA,NASDAQ,0.8422335669090343,8.130000114440918,249,1y,2024-01-01,41485845.08694467,53,59
CRDO,NASDAQ,0.8381941222102596,19.469999313354492,249,1y,2024-01-01,33403146.379222568,54,60
LFMD,NASDAQ,0.8169052707613166,8.289999961853027,249,1y,2024-01-01,5031539.25619958,55,61
AGEN,NASDAQ,0.8117915560848151,16.600000381469727,249,1y,2024-01-01,7274882.9371049665,56,62
CYTK,NASDAQ,0.8048486525998647,83.48999786376953,249,1y,2024-01-01,110780731.8218534,57,63
LCID,NASDAQ,0.7985161816698173,42.099998474121094,249,1y,2024-01-01,147045387.55090985,58,64
BYND,NASDAQ,0.792018686345354,8.899999618530273,249,1y,2024-01-01,24197249.605299935,59,65
BLTE,NASDAQ,0.7830849107660252,45.75,249,1y,2024-01-01,5321986.350934467,60,66
LYFT,NASDAQ,0.7801279504604306,14.989999771118164,249,1y,2024-01-01,177950971.78833824,61,67
FLNC,NASDAQ,0.7726056014958644,23.850000381469727,249,1y,2024-01-01,44658830.122708514,62,68
FCEL,NASDAQ,0.7717245527159261,48.0,249,1y,2024-01-01,17504295.84515193,63,69
HROW,NASDAQ,0.7702815241829953,11.199999809265137,249,1y,2024-01-01,6927421.372720931,64,70
FLNA,NASDAQ,0.7564529516138969,22.510000228881836,249,1y,2024-01-01,32183031.272041988,65,71
DYN,NASDAQ,0.7516377427844438,13.300000190734863,249,1y,2024-01-01,6495080.766148037,66,72
ARDX,NASDAQ,0.7458608059150681,6.199999809265137,249,1y,2024-01-01,29411510.390809227,67,74
ARVN,NASDAQ,0.7401152390850243,41.15999984741211,249,1y,2024-01-01,20122358.331807453,68,75
MGNI,NASDAQ,0.7397848716255755,9.34000015258789,249,1y,2024-01-01,8316611.129355809,69,76
NRIX,NASDAQ,0.7366790574109863,10.319999694824219,249,1y,2024-01-01,5323186.832320501,70,77
FSLY,NASDAQ,0.7361515965939036,17.799999237060547,249,1y,2024-01-01,46003783.20511712,71,78
ARCT,NASDAQ,0.7316817931080619,31.530000686645508,249,1y,2024-01-01,9762186.430864485,72,79
CYRX,NASDAQ,0.7272133544232793,15.489999771118164,249,1y,2024-01-01,7673520.153408959,73,80
MSTR,NASDAQ,0.7214239597501254,63.1619987487793,249,1y,2024-01-01,481959805.6120494,74,82
LESL,NASDAQ,0.7137850523021929,138.1999969482422,249,1y,2024-01-01,19931059.170779273,75,83
AHCO,NASDAQ,0.7124831891808191,7.289999961853027,249,1y,2024-01-01,10099278.73583067,76,84
GTLB,NASDAQ,0.709782744168973,62.959999084472656,249,1y,2024-01-01,114314408.8684082,77,85
EDIT,NASDAQ,0.707225048092331,10.130000114440918,249,1y,2024-01-01,16949062.283375908,78,86
BLFS,NASDAQ,0.7066204298257975,16.25,249,1y,2024-01-01,6643514.663753812,79,87
IEP,NASDAQ,0.7059384321496311,10.521977424621582,249,1y,2024-01-01,8760304.782546513,80,88
