ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
LIDRW,NASDAQ,4.578412148446761,0.006000000052154064,249,1y,2024-01-01,,1,1
APRE,NASDAQ,4.24385218507155,4.699999809265137,249,1y,2024-01-01,,2,2
BBLGW,NASDAQ,4.003962036490971,3.9200000762939453,249,1y,2024-01-01,,3,3
GDC,NASDAQ,3.6222145213672974,2.569999933242798,249,1y,2024-01-01,,4,4
BETR,NASDAQ,3.3039168330612934,40.849998474121094,249,1y,2024-01-01,,5,5
MDXH,NASDAQ,3.2855074450416404,3.940000057220459,249,1y,2024-01-01,,6,6
BGLC,NASDAQ,3.16224185937758,5.300000190734863,249,1y,2024-01-01,,7,7
CHSN,NASDAQ,2.923862900261088,97.5999984741211,189,1y,2024-01-01,,8,8
GDHG,NASDAQ,2.8931974631761266,13687.5,181,1y,2024-01-01,,9,9
UCAR,NASDAQ,2.879567476724327,18.350000381469727,175,1y,2024-01-01,,10,10
LUCYW,NASDAQ,2.8143223122453875,0.050999999046325684,249,1y,2024-01-01,,11,11
AVTX,NASDAQ,2.7596042981535964,9.100000381469727,249,1y,2024-01-01,,12,12
HKIT,NASDAQ,2.735884985115736,1.0499999523162842,188,1y,2024-01-01,,13,13
CXAI,NASDAQ,2.503202898822551,1.2899999618530273,249,1y,2024-01-01,,14,14
CENN,NASDAQ,2.4446680645333796,1.440000057220459,249,1y,2024-01-01,,15,15
HOLO,NASDAQ,2.401161373815162,2840.0,249,1y,2024-01-01,,16,16
FIEE,NASDAQ,2.35601170230815,1.9700000286102295,249,1y,2024-01-01,,17,17
LUNR,NASDAQ,2.31994356615502,2.555000066757202,249,1y,2024-01-01,,18,18
INBS,NASDAQ,2.295739113796711,40.560001373291016,249,1y,2024-01-01,,19,19
SMX,NASDAQ,2.290111676186813,2360868.25,249,1y,2024-01-01,,20,20
GFAI,NASDAQ,2.277722070601102,3.319999933242798,249,1y,2024-01-01,,21,21
CDIO,NASDAQ,2.270441114490402,74.69999694824219,249,1y,2024-01-01,,22,22
APLMW,NASDAQ,2.256255583314647,0.02500000037252903,189,1y,2024-01-01,,23,23
FEMY,NASDAQ,2.246176735396336,0.9750000238418579,249,1y,2024-01-01,,24,24
GCTK,NASDAQ,2.233177381483785,1572.0,249,1y,2024-01-01,,25,25
CNTN,NASDAQ,2.215145258573871,7.635000228881836,249,1y,2024-01-01,,26,26
HUBC,NASDAQ,2.21205629624971,325.5,249,1y,2024-01-01,,27,27
IINNW,NASDAQ,2.1854552613436082,0.17000000178813934,249,1y,2024-01-01,,28,28
ACRS,NASDAQ,2.1843797734029926,1.0499999523162842,249,1y,2024-01-01,,29,29
EZGO,NASDAQ,2.1566533309423335,115.0,249,1y,2024-01-01,,30,30
ADTX,NASDAQ,2.1445712509058086,59935200.0,249,1y,2024-01-01,,31,31
KRRO,NASDAQ,2.096018735408071,47.93000030517578,249,1y,2024-01-01,,32,32
IVF,NASDAQ,2.08906507055771,1944.0,249,1y,2024-01-01,,33,33
BAOS,NASDAQ,2.084974061014429,3.609999895095825,249,1y,2024-01-01,,34,34
BANL,NASDAQ,2.0748924616732123,1.4700000286102295,194,1y,2024-01-01,,35,35
ZURA,NASDAQ,2.0587715976784047,4.670000076293945,196,1y,2024-01-01,,36,36
KYNB,NASDAQ,2.029953927168354,22.149999618530273,249,1y,2024-01-01,,37,37
ENLT,NASDAQ,2.022564543242812,19.139999389648438,249,1y,2024-01-01,,38,38
HURA,NASDAQ,2.003348876363503,5.949999809265137,249,1y,2024-01-01,,39,39
SFWL,NASDAQ,1.9597525439770735,2.940000057220459,188,1y,2024-01-01,,40,40
